毎週, まいしゅう, maishuu, 私は毎週ジムに行きます。
今年, ことし, kotoshi, 今年、日本に行きます。
午前, ごぜん, gozen, 今は午前9時です。
一, いち, ichi, 一番の友達です。
二, に, ni, りんごを二つ買いました。
九, きゅう, kyuu, 九時に寝ます。
七, なな, nana, 七日に行きます。
人, ひと, hito, あの人は誰ですか。
入る, はいる, hairu, 部屋に入ります。
八, はち, hachi, 八歳になりました。
十, じゅう, juuu, 十円あります。
三, さん, san, 三日間休みます。
上, うえ, ue, 机の上に本があります。
下, した, shita, 椅子の下に猫がいます。
大・ おお, oo, 大きな犬がいます。
女, おんな, onna, 女の子が走っています。
山, やま, yama, 富士山は高い山です。
川, かわ, kawa, 川で泳ぎます。
土, つち, tsuchi, 土を掘ります。
千, せん, sen, 千円を払いました。
子, こ, ko, 子どもが遊んでいます。
小, ちい, chii, 小さな家ですね。
中, なか, naka, 箱の中に何がありますか。
五, ご, go, 五枚の紙があります。
六, ろく, roku, 六個の卵があります。
円, えん, en, 是百円です。
天, てん, ten, 天気がいいですね。
日, ひ, hi, 日が暮れました。
月, つき, tsuki, 月がきれいです。
木, き, ki, 木の下で休みます。
水, みず, mizu, 水を飲みます。
火, ひ, hi, 火をつけてください。
出る, でる, deru, 家を出ます。
右, みぎ, migi, 右に曲gってください。
四, よん, yon, 四人家族です。
左, ひだり, hidari, 左手を見てください。
本, ほん, hon, 本を読みます。
白, しろ, shiro, 白いシャツを着ます。
万, まん, man, 一万円札を持っています。
今, いま, ima, 今何時ですか。
分, ふん, fun, 五分待ちます。
午後, ごご, gogo, 午後から雨が降ります。
友, とも, tomo, 友達と遊びます。
父, ちち, chichi, 私の父は会社員です。
北, きた, kita, 北風が吹いています。
半分, はんぶん, hanbun, 半分ください。
外, そと, soto, 外で遊びましょう。
母, はは, haha, 私の母は優しいです。
休む, やすむ, yasumu, 今日は学校を休む。
先, さき, saki, お先に失礼します。
名, な, na, お名前は何ですか。
年, とし, toshi, 今年も終わります。
元気, げんき, genki, お元気ですか。
百, ひゃく, hyaku, 百ページを読みました。
男, おとこ, otoko, 男の子が泣いています。
見る, みる, miru, 映画を見ます。
車, くるま, kuruma, 新しい車を買いました。
毎日, まいにち, mainichi, 毎日日本語を勉強します。
行く, いく, iku, 学校へ行きます。
西, にし, nishi, 太陽は西に沈みます。
何, なに, nani, 何を食べますか。
来る, くる, kuru, 明日友達が来ます。
学生, がくせい, gakusei, 私は学生です。
金, かね, kane, お金がありません。
雨, あめ, ame, 雨が降っています。
国, くに, kuni, あなたの国はどこですか。
東, ひがし, higashi, 東の空が明るいです。
長い, ながい, nagai, 髪が長いです。
前, まえ, mae, 駅の前で待ち合わせます。
南, みなみ, minami, 南の島に行きたいです。
後ろ, うしろ, ushiro, あなたの後ろにいます。
食べる, たべる, taberu, ご飯を食べます。
学校, がっこう, gakkou, 学校は楽しいです。
時間, じかん, jikan, 時間がありません。
高い, たかい, takai, あのビルは高いです。
間, あいだ, aida, 木と木の間を通ります。
話す, はなす, hanasu, 日本語で話します。
電車, でんしゃ, densha, 電車に乗ります。
聞く, きく, kiku, 音楽を聞きます。
語, ご, go, 英語を勉強しています。
読む, よむ, yomu, 新聞を読みます。
生きる, いきる, ikiru, 強く生きる。
書く, かく, kaku, 手紙を書きます。
