才, さい, sai, 私は二十歳です。
王, おう, ou, チェスの王を守ります。
石, いし, ishi, 道に大きな石があります。
内, うち, uchi, 家の内側を掃除します。
太い, ふとい, futoi, このペンは太いです。
引く, ひく, hiku, ドアを押すか引くかしてください。
市, し, shi, この市には古いお寺があります。
他, ほか, hoka, 他の質問はありますか。
号, ごう, gou, ３号室に入ってください。
平気, へいき, heiki, 平気な顔をしています。
打つ, うつ, utsu, ボールをバットで打ちます。
申す, もうす, mousu, 私は田中と申します。
礼, れい, rei, お礼を言いたいです。
耳, みみ, mimi, 耳が遠くなりました。
交番, こうばん, kouban, 交番で道を尋ねます。
光る, ひかる, hikaru, 星がピカピカ光っています。
回る, まわる, mawaru, 地球は太陽の回りを回る。
当たる, あたる, ataru, 宝くじが当たりました。
米, こめ, kome, 日本人は毎日米を食べます。
声, こえ, koe, 大きな声で話してください。
形, かたち, katachi, 珍しい形をした雲です。
草, くさ, kusa, 庭の草をむしります。
文化, ぶんか, bunka, 日本の文化を学びます。
両親, りょうしん, ryoushin, 両親は元気です。
全部, ぜんぶ, zenbu, 全部食べました。
向かう, むかう, mukau, 駅に向かって歩きます。
曲がる, まがる, magaru, 角を右に曲がります。
次, つぎ, tsugi, 次の駅で降ります。
直す, なおす, naosu, 壊れた時計を直します。
生活, せいかつ, seikatsu, 日本の生活に慣れました。
点, てん, ten, テストで満点をとりました。
科学, かがく, kagaku, 科学の実験をします。
首, くび, kubi, 首が痛いです。
欠席, けっせき, kesseki, 授業を欠席します。
自由, じゆう, jiyuu, 自由な時間が必要です。
民主, みんしゅ, minshu, 民主主義を学びます。
付ける, つける, tsukeru, 日記を付けます。
失礼, しつれい, shitsurei, 失礼します。
必ず, かならず, kanarazu, 必ず来てください。
未来, みらい, mirai, 未来のことを考えます。
週末, しゅうまつ, shuumatsu, 週末に映画を見ます。
日記, にっき, nikki, 日記を毎日書きます。
番組, ばんぐみ, bangumi, 面白い番組を見ました。
船, ふね, fune, 船で海を渡ります。
雪, ゆき, yuki, 雪が降っています。
支払う, しはらう, shiharau, お金を支払います。
助ける, たすける, tasukeru, 友達を助けます。
君, きみ, kimi, 君の名前は何ですか。
反対, はんたい, hantai, その意見に反対です。
郵便局, ゆうびんきょく, yuubinkyoku, 郵便局はどこですか。
役に立つ, やくにたつ, yakunitatsu, この本は役に立ちます。
投げる, なげる, nageru, ボールを投げます。
決める, きめる, kimeru, 予定を決めます。
身長, しんちょう, shinchou, 身長が伸びました。
馬, うま, uma, 馬に乗ったことがあります。
電話番号, でんわばんごう, denwabangou, 電話番号を教えてください。
絵, え, e, きれいな絵を描きます。
数学, すうがく, suugaku, 数学の勉強をします。
場所, ばしょ, basho, 静かな場所です。
道具, どうぐ, dougu, 道具を片付けます。
受ける, うける, ukeru, 試験を受けます。
和食, わしょく, washoku, 和食が好きです。
予定, よてい, yotei, 予定を確認します。
実 は, じつは, jitsuwa, 実は嘘をついていました。
泳ぐ, およぐ, oyogu, プールで泳ぎます。
苦い, にがい, nigai, この薬は苦いです。
発表, はっぴょう, happyou, 発表を始めます。
部屋, へや, heya, 部屋に入ります。
乗る, のる, noru, 電車に乗ります。
お客さん, おきゃくさん, okyakusan, お客さんが来ました。
相談, そうだん, soudan, 友達に相談します。
美しい, うつくしい, utsukushii, 美しい景色です。
負ける, まける, makeru, 試合に負けました。
相談, そうだん, soudan, 相談に乗ってください。
必要, ひつよう, hitsuyou, パスポートが必要です。
勝ちます, かちます, kachimasu, 試合に勝ちます。
速い, はやい, hayai, 足が速いです。
心配, しんぱい, shinpai, 心配しないでください。
お酒, おさけ, osake, お酒を飲みます。
進む, すすむ, susumu, 前に進んでください。
落とす, おとす, otosu, 財布を落としました。
葉, は, ha, 木の葉が落ちます。
道路, どうろ, douro, 道路を渡ります。
鳴き声, なきごえ, nakigoe, 鳥の鳴き声が聞こえます。
横, よこ, yoko, 横を向いてください。
調べる, しらべる, shiraberu, 辞書で調べます。
頭, あたま, atama, 頭が痛いです。
顔, かお, kao, 顔を洗います。
最初, さいしょ, saisho, 最初にこれをやります。
戦争, せんそう, sensou, 戦争に反対します。
伝える, つたえる, tsutae, メッセージを伝えます。
共に, ともに, tomoni, 共に頑張りましょう。
好き, すき, suki, 日本料理が好きです。
成人, せいじん, seijin, 成人式に出席します。
老人, ろうじん, roujin, 老人に席を譲ります。
第一位, だいいちい, daiichii, 彼は第一位になりました。
初めて, はじめて, hajimete, 初めて日本に来ました。
便利, べんり, benri, 便利な道具です。
努力, どりょく, doryoku, 努力が大切です。
苦労, くろう, kurou, 苦労をおかけしました。
命, いのち, inochi, 命は大切です。
放課後, ほうかご, houkago, 放課後に遊びます。
昔, むかし, mukashi, 昔々あるところに。
育てます, そだてます, sodatemasu, 子供を育てます。
指, ゆび, yubi, 指を怪我しました。
神社, じんじゃ, jinja, 神社でお祈りします。
追いかけます, おいかけます, oikakemasu, 夢を追いかけます。
戦います, たたかいます, tatakaimasu, 敵と戦います。
良い, よい, yoi, 良いお年を。
便利, べんり, benri, 交通が便利です。
働きます, はたらきます, hatarakimasu, 会社で働きます。
庭, にわ, niwa, 庭に花が咲いています。
息, いき, iki, 息を吸います。
流れています, ながれています, nagareteimasu, 川が流れています。
消します, けします, keshimasu, 電気を消します。
都, みやこ, miyako, 京都は古い都です。
商品, しょうひん, shouhin, 商品が届きました。
深い, ふかい, fukai, 深い海ですね。
野球, やきゅう, yakyuu, 野球をします。
太陽, たいよう, taiyou, 太陽が眩しいです。
寒い, さむい, samui, 今日は寒いです。
悲しい, かなしい, kanashii, 悲しい映画を見ました。
期待, きたい, kitai, 期待しています。
歯, は, ha, 歯を磨きます。
港, みなと, minato, 港に船が泊まっています。
登ります, のぼります, noborimasu, 山に登ります。
亡くなりました, なくなりました, nakunarimashita, 祖父が亡くなりました。
試合, しあい, shiai, 試合が始まります。
予定, よてい, yotei, 予定を変更します。
反対, はんたい, hantai, 反対意見があります。
返します, かえします, kaeshimasu, 本を返します。
宿題, しゅくだい, shukudai, 宿題が終わりました。
想像, そうぞう, souzou, 想像してみてください。
感動, かんどう, kandou, 映画に感動しました。
暗い, くらい, kurai, 部屋が暗いです。
様子, ようす, yousu, 様子を見てみましょう。
幸福, こうふく, koufuku, 幸福な生活です。
殺人, さつじん, satsujin, 殺人事件が起きました。
全然, ぜんぜん, zenzen, 全然分かりません。
熱い, あつい, atsui, 熱いお茶を飲みます。
選んで, えらんで, erande, 好きなものを選んで。
お願い, おねがい, onegai, お願いがあります。
情報, じょうほう, jouhou, 情報を集めます。
疑問, ぎもん, gimon, 疑問があります。
皆さん, みなさん, minasan, 皆さんこんにちは。
例えば, たとえば, tatoeba, 例えばこんな感じです。
参加, さんか, sanka, パーティーに参加します。
完璧, かんぺき, kanpeki, 完璧な計画です。
残念, ざんねん, zannen, それは残念ですね。
折ります, おります, orimasu, 折り紙を折ります。
希望, きぼう, kibou, 希望を持っています。
約束, やくそく, yakusoku, 約束を守ります。
残りました, のこりました, nokorimashita, ご飯が残りました。
求めます, もとめます, motomemasu, 助けを求めます。
約束, やくそく, yakusoku, 約束の時間です。
性格, せいかく, seikaku, 性格がいいです。
合格, ごうかく, goukaku, 試験に合格しました。
能力, のうりょく, nouryoku, 能力があります。
技術, ぎじゅつ, gijutsu, 新しい技術です。
晴れ, はれ, hare, 今日は晴れです。
列車, れっしゃ, ressha, 列車が到着します。
結婚式, けっこんしき, kekkonshiki, 結婚式に出ます。
信じます, しんじます, shinjimasu, あなたを信じます。
単語, たんご, tango, 単語を覚えます。
変, へん, hen, 何か変な音がします。
夫, おっと, otto, 私の夫は優しいです。
昨日, きのう, kinou, 昨日は雨でした。
方法, ほうほう, houhou, いい方法があります。
晩ご飯, ばんごはん, bangohan, 晩ご飯を食べます。
猫, ねこ, neko, 猫が寝ています。
公園, こうえん, kouen, 公園を散歩します。
遠い, とおい, tooi, 家から駅まで遠いです。
係員, かかりいん, kakariin, 係員に聞いてください。
撮ります, とります, torimasu, 写真を撮ります。
守ります, まもります, mamorimasu, ルールを守ります。
幸せ, しあわせ, shiawase, 幸せな日々です。
箱, はこ, hako, 箱を開けます。
面白い, おもしろい, omashiroi, 面白い本です。
喜びました, よろこびました, yorokobimashita, 友達が喜びました。
治りました, なおる, naoru, 病気が治りました。
笑う, わらう, warau, よく笑う人です。
辞書, じしょ, jisho, 辞書を引きます。
関係, かんけい, kankei, 私には関係ありません。
政治, せいじ, seiji, 政治について話します。
留学, りゅうがく, ryuugaku, 日本に留学します。
危険, きけん, kiken, ここは危険です。
危ない, あぶない, abunai, 危ないですから離れて。
ご存知, ごぞんじ, gozonji, ご存知ですか。
大阪, おおさか, oosaka, 大阪に行きます。
原因, げんいん, genin, 原因を調べます。
薬, くすり, kusuri, 薬を飲みます。
右側, みぎがわ, migigawa, 右側を歩きます。
席, せき, seki, 席に座ってください。
失敗, しっぱい, shippai, 失敗は成功 of 母。
果物, くだもの, kudamono, 果物を食べます。
原因, げんいん, genin, それが原因です。
常に, つねに, tsuneni, 常に準備をします。
知識, ちしき, chishiki, 知識が豊富です。
非常口, ひじょうぐち, hijouguchi, 非常口はあそこです。
警官, けいかん, keikan, 警官が走っています。
警察, けいさつ, keisatsu, 警察を呼びます。
愛しています, あいしています, aishiteimasu, 家族を愛しています。
警察, けいさつ, keisatsu, 警察官がいます。
覚える, おぼえる, oboeru, 漢字を覚えます。
説明, せつめい, setsumei, 説明を聞きます。
報告, ほうこく, houkoku, 報告をします。
