了, りょう, ryō, 了解しました。
丸, まる, maru, 丸を書きます。
玉, たま, tama, 水の玉があります。
久, ひさ, hisa, お久しぶりです。
戸, と, to, 戸を閉めました。
毛, け, ke, 猫の毛は柔らかい。
央, おう, ō, 中央の席に座る。
氷, こおり, kōri, 氷を入れます。
皮, かわ, kawa, リンゴの皮をむく。
皿, さら, sara, 皿を洗いました。
竹, たけ, take, 竹林が美しい。
糸, いと, ito, 赤い糸を使います。
虫, むし, mushi, 虫が飛んでいます。
村, むら, mura, 小さな村に住む。
貝, かい, kai, 海で貝を拾った。
池, いけ, ike, 池に魚がいます。
羽, はね, hane, 鳥の羽は軽いです。
角, かど, kado, 角を曲がります。
谷, たに, tani, 深い谷が見える。
里, さと, sato, ふる里が恋しい。
麦, むぎ, mugi, 麦茶を飲みます。
林, はやし, hayashi, 林の中を歩く。
州, しゅう, shū, 九州に行きたい。
血, ち, chi, 血が出ました。
星, ほし, hoshi, 星が綺麗です。
札, さつ, satsu, 千円札を出した。
辺, へん, hen, この辺は静かだ。
弱, よわ, yowa, 弱音を吐かない。
黄, き, ki, 黄色い花が咲く。
森, もり, mori, 森で迷いました。
雲, くも, kumo, 白い雲がある。
県, けん, ken, 千葉県に住む。
軽, かる, karu, 手荷物が軽い。
農, のう, nō, 農業を学びます。
鉄, てつ, tetsu, 鉄のドアです。
算, さん, san, 算数を勉強する。
線, せん, sen, 直線を描きます。
仲, なか, naka, 仲間と遊ぶ。
低, ひく, hiku, 気温が低い。
岸, きし, kishi, 海岸を歩く。
波, なみ, nami, 波が高いです。
拾, ひろ, hiro, ゴミを拾います。
秒, びょう, byō, ５秒待ちます。
競, きょう, kyō, 競争が激しい。
令, れい, rei, 命令に従う。
根, ね, ne, 草の根を張る。
倍, ばい, bai, 値段が２倍だ。
島, しま, shima, 小さな島です。
祭, まつり, matsuri, 夏祭りが楽しい。
章, しょう, shō, 第一章を読む。
童, どう, dō, 童話が好きです。
階, かい, kai, ２階へ行きます。
植, う, u, 木を植えます。
温, あたた, atata, 温かいお茶。
湯, ゆ, yu, お湯が沸いた。
短, みじか, mijika, 髪が短い。
泉, いずみ, izumi, 温泉が有名だ。
橋, はし, hashi, 橋を渡ります。
緑, みどり, midori, 緑色が好きだ。
練, れん, ren, 練習を続ける。
億, おく, oku, １億円ある。
課, か, ka, 人事課に行く。
賞, しょう, shō, 賞をもらいました。
輪, わ, wa, 指輪を買う。
像, ぞう, zō, 仏像を見ました。
卒, そつ, sotsu, 卒業しました。
協, きょう, kyō, 協力が必要です。
周, しゅう, shū, 周囲を見る。
囲, い, i, 範囲が決まる。
固, かた, kata, 頭が固い。
季, き, ki, 四季があります。
希, き, ki, 希望を持つ。
材, ざい, zai, 木材を使う。
芸, げい, gei, 芸術の秋。
技, わざ, waza, 技を磨く。
骨, ほね, hone, 骨が折れました。
寺, てら, tera, お寺に行きます。
岩, いわ, iwa, 大きな岩がある。
区, く, ku, 新宿区に住む。
坂, さか, saka, 坂を上ります。
勇, ゆう, yū, 勇気を出して。
毒, どく, doku, 毒があります。
浅, あさ, asa, 水深が浅い。
軍, ぐん, gun, 軍隊に入ります。
仏, ぶつ, butsu, 仏教の教え。
築, ちく, chiku, 建築を学ぶ。
門, もん, mon, 正門を通る。
荷, に, ni, 荷物が届いた。
府, ふ, fu, 大阪府に行く。
浴, よく, yoku, 浴衣を着ます。
専, せん, sen, 専門分野です。
細, ほそ, hoso, 細い紐です。
鼻, はな, hana, 鼻が高くなった。
兵, へい, hei, 兵士になる。
塩, しお, shio, 塩を入れます。
栄, えい, ei, 栄養が大事だ。
無, な, na, 無い物ねだり。
干, ほ, ho, 洗濯物を干す。
底, そこ, soko, 海の底を見る。
署, しょ, sho, 警察署へ行く。
恋, こい, koi, 恋に落ちました。
婚, こん, kon, 結婚します。
期, き, ki, 期待しています。
夜, よる, yoru, 夜が来ました。
胸, むね, mune, 胸が痛いです。
脳, のう, nō, 脳の働き。
枚, まい, mai, 紙を１枚ください。
禁, きん, kin, 駐車禁止です。
喫, きつ, kitsu, 喫煙所はどこ？
減, へ, he, 体重が減る。
順, じゅん, jun, 順番を待つ。
布, ぬの, nuno, 布で拭きます。
詞, し, shi, 動詞を覚える。
歴, れき, reki, 歴史が好きだ。
冊, さつ, satsu, 本を１冊買った。
宇, う, u, 宇宙に行きたい。
団, だん, dan, 団体行動をする。
暴, あば, aba, 暴力を振るわない。
混, ま, ma, 混ぜてください。
乱, らん, ran, 混乱している。
改, かた, kata, 改札口を終える。
絡, から, kara, 連絡をします。
比, くら, kura, 背を比べる。
被, かぶ, kabu, 帽子を被る。
震, しん, shin, 地震が起きた。
尻, しり, shiri, お尻が痛い。
械, かい, kai, 機械を動かす。
個, こ, ko, １個食べました。
圧, あつ, atsu, プレッシャー、圧力。
厚, あつ, atsu, 本が厚いです。
防, ふせ, fuse, 火災を防ぐ。
史, し, shi, 日本史の授業。
委, い, i, 委員会に出席する。
査, さ, sa, 調査を行います。
総, そう, sō, 総力を挙げる。
設, せつ, setsu, 施設を利用する。
省, しょう, shō, 反省しています。
税, ぜい, zei, 消費税が上がる。
坊, ぼう, bō, 赤ん坊が泣く。
各, かく, kaku, 各自で準備する。
勢, いきお, ikio, 勢いがある。
営, えい, ei, 営業時間は何時？
領, りょう, ryō, 領収書をください。
副, ふく, fuku, 副社長に会う。
域, いき, iki, 地域社会。
停, てい, tei, バス停で待つ。
革, かわ, kawa, 革の靴です。
律, りつ, ritsu, 法律を守る。
準, じゅん, jun, 準備ができた。
則, そく, soku, 規則に反する。
導, みちび, michibi, 光が導く。
乳, ちち, chichi, 牛乳を飲む。
城, しろ, shiro, 大阪城を見に行く。
担, たん, tan, 担任の先生。
額, ひたい, hitai, 額に汗をかく。
輸, ゆ, yu, 輸出を増やす。
燃, も, mo, ゴミを燃やす。
祝, いわ, iwa, 誕生日を祝う。
届, とど, todo, 手紙が届いた。
肩, かた, kata, 肩が凝りました。
腕, うで, ude, 腕を組む。
腰, こし, koshi, 腰を曲げる。
触, さわ, sawa, 触らないで。
層, そう, sō, 高層ビル。
型, かた, kata, 新型モデル。
庁, ちょう, chō, 県庁に行く。
管, くだ, kuda, 管を通る。
象, ぞう, zō, 象は大きいです。
量, りょう, ryō, 分量を測る。
境, さかい, sakai, 国境を越える。
武, ぶ, bu, 武士の精神。
述, のべ, nobe, 意見を述べる。
販, はん, han, 自動販売機。
含, ふく, fuku, 税金を含みます。
状況, じょうきょう, jōkyō, 状況を確認する。
補, ほ, ho, 補助金が出る。
効, こう, kō, 効果があります。
豊, ゆた, yuta, 豊かな自然。
