手, て, te, 手を洗います。
文, ぶん, bun, 短い文を書きます。
犬, いぬ, inu, 白い犬がいます。
正しい, ただしい, tadashii, 正しい答えを選んでください。
田, た, ta, 田んぼに水があります。
目, め, me, 目が大きいです。
立つ, たつ, tatsu, ここに立ってください。
元気, げんき, genki, 今日も元気です。
公園, こうえん, kouen, 公園で散歩します。
切る, きる, kiru, 紙を切ります。
少し, すこし, sukoshi, 少し待ってください。
心, こころ, kokoro, 優しい心を持っています。
方, ほう, hou, あの方は誰ですか。
牛, うし, ushi, 牛が草を食べています。
止まる, とまる, tomaru, 車が止まります。
兄, あに, ani, 私の兄は学生です。
冬, ふゆ, fuyu, 冬はとても寒いです。
古い, ふるい, furui, 是古い本です。
台, だい, dai, 車が一台あります。
広い, ひろい, hiroi, この部屋は広いです。
用事, ようじ, youji, 今日は用事があります。
世界, せかい, sekai, 世界は広いです。
主人, しゅじん, shujin, 私の主人は会社員です。
代わり, かわり, kawari, お父さんの代わりに私が行きます。
写真, しゃしん, shashin, 写真を撮ります。
去年, きょねん, kyonen, 去年、日本に来ました。
字, じ, ji, きれいな字ですね。
早い, はやい, hayai, 朝早く起きます。
町, まち, machi, 賑やかな町です。
花, はな, hana, 花が咲きました。
赤い, あかい, akai, 赤いりんごを食べます。
足, あし, ashi, 足が痛いです。
不便, べんり, benri, 不便な生活をしています。
仕事, しごと, shigoto, 仕事を始めます。
会う, あう, au, 明日友達に会います。
同じ, おなじ, onaji, 同じ服を着ています。
多い, おおい, ooi, 人がたくさん多いです。
考える, かんがえる, kangaeru, よく考えてみてください。
肉, にく, niku, 肉を食べます。
自分, じぶん, jibun, 自分でやります。
色, いろ, iro, 何色が好きですか。
体, からだ, karada, 体に気をつけてください。
作る, つくる, tsukuru, 料理を作ります。
図書館, としょかん, toshokan, 図書館で勉強します。
売る, うる, uru, 本を売ります。
弟, おとうと, otouto, 弟がいます。
会社, かいしゃ, kaisha, 会社へ行きます。
言う, いう, iu, 本当のことを言います。
走る, はしる, hashiru, 公園を走ります。
近い, ちかい, chikai, 駅に近い家です。
空, そら, sora, 空が青いです。
青い, あおい, aoi, 青い海が見えます。
音, おと, oto, 大きな音がしました。
地図, ちず, chizu, 地図を見てください。
安い, やすい, yasui, この服は安いです。
有名, ゆうめい, yuumei, 有名なレストランです。
死ぬ, しぬ, shinu, 植物が死ぬ。
京都, きょうと, kyouto, 京都に行きたいです。
夜, よる, yoru, 夜は静かです。
妹, いもうと, imouto, 可愛い妹です。
姉, あね, ane, 姉は英語が話せます。
店, みせ, mise, あの店は美味しいです。
明るい, あかるい, akarui, 明るい部屋です。
歩く, あるく, aruku, 駅まで歩きます。
映画, えいが, eiga, 映画を見ます。
知る, しる, shiru, そのニュースを知っています。
教室, きょうしつ, kyoushitsu, 教室に人がいます。
思う, おもう, omou, そう思います。
海, うみ, umi, 海で泳ぎます。
お茶, おちゃ, ocha, お茶を飲みます。
以上, いじょう, ijou, これ以上は無理です。
夏, なつ, natsu, 夏休みが楽しみです。
家, いえ, ie, 家に帰ります。
紙, かみ, kami, 紙に名前を書きます。
通る, とおる, tooru, この道を通ります。
強い, つよい, tsuyoi, 風が強いです。
教える, おしえる, oshieru, 日本語を教えます。
料理, りょうり, ryouri, 料理が上手です。
今週, こんしゅう, konshuu, 今週は忙しいです。
魚, さかな, sakana, 魚を食べます。
鳥, とり, tori, 鳥が飛んでいます。
黒い, くろい, kuroi, 黒い靴を履きます。
住む, すむ, sumu, 東京に住んでいます。
医者, いしゃ, isha, 医者になりたいです。
研究, けんきゅう, kenkyuu, 大学で研究しています。
歯医者, はいしゃ, haisha, 歯医者に行きます。
研究, けんきゅう, kenkyuu, 研究を始めます。
場所, ばしょ, basho, ここは静かな場所です。
朝, あさ, asa, 毎朝お茶を飲みます。
答え, こたえ, kotae, 答えが分かりません。
買う, かう, kau, 新しい服を買います。
道, みち, michi, この道をまっすぐ行きます。
楽しい, たのしい, tanoshii, 毎日が楽しいです。
仕事, しごと, shigoto, 仕事のことについて話します。
使う, つかう, tsukau, パソコンを使います。
始める, はじめる, hajimeru, 勉強を始めます。
服, ふく, fuku, 新しい服を着ます。
買い物, かいもの, kaimono, 買い物に行きます。
部屋, へや, heya, 部屋の窓を開けます。
一度, いちど, ichido, もう一度言ってください。
待つ, まつ, matsu, ここで待っています。
持つ, もつ, motsu, 荷物を持っています。
世界, せかい, sekai, 世界中を旅行したいです。
